title,medium,year,critic_score,genres,artist
Citizen Kane,movie,1941.0,100,"Drama, Mystery",
The Godfather,movie,1972.0,100,"Crime, Drama",
Tokyo Story,movie,1953.0,100,Drama,
Lawrence of Arabia,movie,1962.0,100,"Adventure, Biography, Drama",
Vertigo,movie,1958.0,100,"Mystery, Romance, Thriller",
Rear Window,movie,1954.0,100,"Drama, Mystery, Thriller",
Casablanca,movie,1942.0,100,"Drama, Romance, War",
Singin' in the Rain,movie,1952.0,99,"Comedy, Musical, Romance",
The Rules of the Game,movie,1939.0,99,"Comedy, Drama",
Seven Samurai,movie,1954.0,98,"Action, Drama",
Psycho,movie,1960.0,97,"Drama, Horror, Mystery",
Parasite,movie,2019.0,97,"Drama, Thriller",
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,1964.0,97,"Comedy, War",
Modern Times,movie,1936.0,96,"Comedy, Drama, Romance",
Spirited Away,movie,2001.0,96,"Animation, Adventure, Family",
Schindler's List,movie,1993.0,95,"Biography, Drama, History",
Pulp Fiction,movie,1994.0,95,"Crime, Drama",
The Social Network,movie,2010.0,95,"Biography, Drama",
Apocalypse Now,movie,1979.0,94,"Drama, Mystery, War",
The Lord of the Rings: The Return of the King,movie,2003.0,94,"Adventure, Drama, Fantasy",
There Will Be Blood,movie,2007.0,93,Drama,
Goodfellas,movie,1990.0,92,"Biography, Crime, Drama",
No Country for Old Men,movie,2007.0,92,"Crime, Drama, Thriller",
The Godfather Part II,movie,1974.0,90,"Crime, Drama",
Raging Bull,movie,1980.0,90,"Biography, Drama, Sport",
Star Wars: Episode IV - A New Hope,movie,1977.0,90,"Action, Adventure, Fantasy",
Mad Max: Fury Road,movie,2015.0,90,"Action, Adventure, Sci-Fi",
Mulholland Drive,movie,2001.0,87,"Drama, Mystery, Thriller",
In the Mood for Love,movie,2000.0,87,"Drama, Romance",
The Dark Knight,movie,2008.0,85,"Action, Crime, Drama",
2001: A Space Odyssey,movie,1968.0,84,"Adventure, Sci-Fi",
Blade Runner,movie,1982.0,84,"Action, Drama, Sci-Fi",
The Shawshank Redemption,movie,1994.0,82,Drama,
Star Wars: Episode V - The Empire Strikes Back,movie,1980.0,82,"Action, Adventure, Fantasy",
The Matrix,movie,1999.0,73,"Action, Sci-Fi",
To Whom This May Concern,music,,82,,Jill Scott
the apple tree under the sea,music,,88,,hemlocke springs
Cerulean,music,,67,,Danny L. Harle
Strange Life,music,,75,,Howling Bells
Singin' To An Empty Chair,music,,85,,Ratboys
URGH,music,,87,,"Mandy, Indiana"
EXPO,music,,76,,Ulrika Spacek
Butterfly,music,,78,,Daphni
Move On With The Year,music,,80,,Alice Costelloe
Laughter In Summer,music,,83,,Beverly Glenn-Copeland
Weapons Of Beauty,music,,81,,Jay Buchanan
Piss In The Wind,music,,64,,Joji
The Fall-Off,music,,66,,J. Cole
Tenterhooks,music,,59,,Silversun Pickups
Liturgy Of Death,music,,73,,Mayhem
Yeah Yeah Yeah,music,,68,,Cast
"For The First Time, Again",music,,76,,Tyler Ballgame
Can I Get A Pack Of Camel Lights?,music,,80,,Geologist
I Used to Go To This Bar,music,,79,,Joyce Manor
Wormslayer,music,,78,,Kula Shaker
Attitude Adjustment,music,,70,,Buzzcocks
Can Such Delightful Times Go On Forever?,music,,80,,The Soft Pink Truth
"low clouds hang, this land is on fire",music,,79,,Tashi Dorji
Not Here Not Gone,music,,79,,Blackwater Holylight
Kiss The Beast,music,,71,,Sébastien Tellier
One Mississippi,music,,84,,Eric Bibb
My Ghosts Go Ghost,music,,78,,By Storm
When A Flower Doesn't Grow,music,,86,,Softcult
Sunlight Echoes,music,,72,,Whitelands
Wasted On Youth,music,,79,,The Molotovs
World's Gone Wrong,music,,82,,Lucinda Williams
Megadeth,music,,61,,Megadeth
How Did I Get Here?,music,,69,,Louis Tomlinson
Dead Dads Club,music,,71,,Dead Dads Club
No More Like This,music,,82,,PVA
"JUNGLIST! Old Skool Ragga, D&B, Jungle 1993-95",music,,87,,Various Artists
Scenes From Above,music,,76,,Julian Lage
Death In The Business Of Whaling,music,,79,,Searows
Vacancy,music,,75,,Ari Lennox
Sidings,music,,78,,Craven Faults
Empty Hands,music,,75,,Poppy
Not Like Everybody Else,music,,60,,The Damned
Your Picture,music,,84,,The Sha La Das
The Demise Of Planet X,music,,76,,Sleaford Mods
Valentine,music,,80,,Courtney Marie Andrews
Tragic Magic,music,,83,,Julianna Barwick & Mary Lattimore
Off The Fence,music,,86,,The James Hunter Six
Don't Be Dumb,music,,71,,A$AP Rocky
BRITPOP,music,,76,,Robbie Williams
locket,music,,72,,Madison Beer
Can't Take My Story Away,music,,82,,Elles Bailey
Xiu Mutha Fuckin' Xiu: Vol. 1,music,,81,,Xiu Xiu
Dreamer+,music,,75,,Sassy 009
Jana Horn,music,,82,,Jana Horn
SCALA!!! (Original Music By Barry Adamson),music,,74,,Barry Adamson
So Much Country ‘Till We Get There [EP],music,,82,,Westside Cowboy
Secret Love,music,,87,,Dry Cleaning
Quicksand Heart,music,,72,,Jenny On Holiday
Selling A Vibe,music,,78,,The Cribs
With Heaven On Top,music,,74,,Zach Bryan
Ferrum Sidereum,music,,78,,Zu
III,music,,84,,Pullman
Desert So Green,music,,77,,Winged Wheel
BEFORE I FORGET,music,,68,,The Kid Laroi
Holo Boy,music,,82,,This Is Lorelei
Lightning Might Strike,music,,84,,Juliana Hatfield
Wish You Were Here 50 [Box Set],music,,100,,Pink Floyd
Konk If You're Lonely: Fat White Family Live At Konk Studios,music,,70,,Fat White Family
Light-Years,music,,71,,Nas & DJ Premier
WHAT HAPPENED TO THE STREETS?,music,,56,,21 Savage
CONFLICT DLC,music,,78,,HEALTH
Unclouded,music,,77,,Melody's Echo Chamber
Blizzard,music,,92,,Dove Ellis
Spíra,music,,80,,Ólöf Arnalds
Memento Mori: Mexico City,music,,85,,Depeche Mode
Live God,music,,88,,Nick Cave & the Bad Seeds
MASQUERADE,music,,75,,Thomas Raggi
Mercado 48,music,,79,,Daniel Knox
There Is Nothing In The Dark That Isn't There In The Light,music,,63,,Tom Smith
Long March Through The Jazz Age,music,,82,,The Saints
"Selenites, Selenites!",music,,81,,Jimi Tenor Band
Tranquilizer,music,,80,,Oneohtrix Point Never
Anthology Collection (2025 Edition),music,,82,,The Beatles
Anthology 4,music,,86,,The Beatles
Parader,music,,82,,Keaton Henson
Cabin In The Sky,music,,81,,De La Soul
Balloon Balloon Balloon,music,,84,,Sharp Pins
Bang,music,,80,,Iona Zajac
England Screaming,music,,85,,Wreckless Eric
Changes In Air,music,,78,,Kara-Lis Coverdale
Implosion,music,,83,,The Bug vs Ghost Dubs
Woman Of Faces,music,,78,,Celeste
EUSEXUA Afterglow,music,,77,,FKA twigs
EVERYONE'S A STAR!,music,,77,,5 Seconds of Summer
Vesper Sparrow,music,,84,,JJJJJerome Ellis
The Parlour,music,,84,,Picture Parlour
Chin Up Buttercup,music,,82,,Austra
Watch It Die,music,,73,,Home Front
Finally Over It,music,,75,,Summer Walker
AVTT/PTTN,music,,72,,AVTT/PTTN
Rebuilding (Original Motion Picture Soundtrack),music,,81,,Jake Xerxes Fussell & James Elkington
The Sherlock Holmes Rhythm 'n' Beat Vernacular,music,,77,,Thee Headcoats
Man-Trap,music,,82,,Thee Headcoatees
Holy Island,music,,74,,Sister Ray Davies
Black And Blue [Super Deluxe] [Box Set],music,,82,,The Rolling Stones
All Washed Up,music,,77,,Cheap Trick
Super Mario Odyssey,game,,97,"Adventure, Platformer",
Baldur's Gate 3,game,,96,"Adventure, RPG",
The Legend of Zelda: Breath of the Wild,game,,96,"Adventure, Action",
Red Dead Redemption 2,game,,95,"Adventure, Third-Person Shooter",
The Legend of Zelda: Tears of the Kingdom,game,,95,"Action, Adventure",
Grand Theft Auto IV,game,,95,"Action, Adventure",
Elden Ring,game,,95,"Action, RPG",
Astro Bot,game,,95,Platformer,
Hades II,game,,94,"Action, RPG, Roguelike",
The Legend of Zelda: Tears of the Kingdom Nintendo Switch 2 Edition,game,,94,,
The Last of Us Remastered,game,,94,Adventure,
God of War,game,,94,"Action, RPG",
Persona 5 Royal,game,,94,RPG,
Metroid Prime Remastered,game,,94,"Action, First-Person Shooter",
Persona 5,game,,94,RPG,
Hades,game,,94,"Adventure, RPG, Action",
Elden Ring: Shadow of the Erdtree,game,,94,"Action, RPG",
Divinity: Original Sin 2,game,,93,"RPG, Turn-Based Strategy",
Journey,game,,93,"Art, Adventure",
The House in Fata Morgana,game,,93,"Interactive Story, Adventure",
NieR: Automata Become as Gods Edition,game,,92,,
Mario Kart 8 Deluxe,game,,92,Racing,
Divinity: Original Sin 2 - Definitive Edition,game,,92,RPG,
Celeste,game,,92,"Platformer, Action, Adventure",
The Séance of Blake Manor,game,,91,,
Street Fighter 6,game,,91,"Action, Fighting",
