title,medium,year,critic_score,genres
Citizen Kane,movie,1941,100,"Drama, Mystery"
The Godfather,movie,1972,100,"Crime, Drama"
Tokyo Story,movie,1953,100,Drama
Lawrence of Arabia,movie,1962,100,"Adventure, Biography, Drama"
Vertigo,movie,1958,100,"Mystery, Romance, Thriller"
Rear Window,movie,1954,100,"Drama, Mystery, Thriller"
Casablanca,movie,1942,100,"Drama, Romance, War"
Singin' in the Rain,movie,1952,99,"Comedy, Musical, Romance"
The Rules of the Game,movie,1939,99,"Comedy, Drama"
Seven Samurai,movie,1954,98,"Action, Drama"
Psycho,movie,1960,97,"Drama, Horror, Mystery"
Parasite,movie,2019,97,"Drama, Thriller"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,1964,97,"Comedy, War"
Modern Times,movie,1936,96,"Comedy, Drama, Romance"
Spirited Away,movie,2001,96,"Animation, Adventure, Family"
Schindler's List,movie,1993,95,"Biography, Drama, History"
Pulp Fiction,movie,1994,95,"Crime, Drama"
The Social Network,movie,2010,95,"Biography, Drama"
Apocalypse Now,movie,1979,94,"Drama, Mystery, War"
The Lord of the Rings: The Return of the King,movie,2003,94,"Adventure, Drama, Fantasy"
There Will Be Blood,movie,2007,93,Drama
Goodfellas,movie,1990,92,"Biography, Crime, Drama"
No Country for Old Men,movie,2007,92,"Crime, Drama, Thriller"
The Godfather Part II,movie,1974,90,"Crime, Drama"
Raging Bull,movie,1980,90,"Biography, Drama, Sport"
Star Wars: Episode IV - A New Hope,movie,1977,90,"Action, Adventure, Fantasy"
Mad Max: Fury Road,movie,2015,90,"Action, Adventure, Sci-Fi"
Mulholland Drive,movie,2001,87,"Drama, Mystery, Thriller"
In the Mood for Love,movie,2000,87,"Drama, Romance"
The Dark Knight,movie,2008,85,"Action, Crime, Drama"
2001: A Space Odyssey,movie,1968,84,"Adventure, Sci-Fi"
Blade Runner,movie,1982,84,"Action, Drama, Sci-Fi"
The Shawshank Redemption,movie,1994,82,Drama
Star Wars: Episode V - The Empire Strikes Back,movie,1980,82,"Action, Adventure, Fantasy"
The Matrix,movie,1999,73,"Action, Sci-Fi"
