title,artist,score
The Mountain,Gorillaz,87
My Days Of 58,Bill Callahan,83
Hen's Teeth,Iron & Wine,83
Nothing's About To Happen To Me,Mitski,91
Prizefighter,Mumford & Sons,74
luck... or something,Hilary Duff,75
No Lube So Rude,Peaches,73
Future Quiet,Moby,74
DISCOMBOBULATED,Hen Ogledd,84
Garip,Altin Gün,78
Days Of Ash EP,U2,76
To Whom This May Concern,Jill Scott,81
the apple tree under the sea,hemlocke springs,85
Cerulean,Danny L. Harle,70
Strange Life,Howling Bells,77
Love Is Not Enough,Converge,84
Wuthering Heights,Charli xcx,82
Masquerade,Cardinals,81
We Gotta Groove: The Brother Studio Years [Super Deluxe Edition],The Beach Boys,80
Singin' To An Empty Chair,Ratboys,85
URGH,"Mandy, Indiana",84
EXPO,Ulrika Spacek,76
Butterfly,Daphni,78
Move On With The Year,Alice Costelloe,80
Laughter In Summer,Beverly Glenn-Copeland,83
Weapons Of Beauty,Jay Buchanan,81
Piss In The Wind,Joji,64
The Fall-Off,J. Cole,66
Tenterhooks,Silversun Pickups,59
Liturgy Of Death,Mayhem,73
Yeah Yeah Yeah,Cast,68
"For The First Time, Again",Tyler Ballgame,76
Can I Get A Pack Of Camel Lights?,Geologist,80
I Used to Go To This Bar,Joyce Manor,79
Wormslayer,Kula Shaker,78
Attitude Adjustment,Buzzcocks,70
Can Such Delightful Times Go On Forever?,The Soft Pink Truth,80
"low clouds hang, this land is on fire",Tashi Dorji,79
Not Here Not Gone,Blackwater Holylight,79
Kiss The Beast,Sébastien Tellier,73
One Mississippi,Eric Bibb,84
My Ghosts Go Ghost,By Storm,80
When A Flower Doesn't Grow,Softcult,86
Sunlight Echoes,Whitelands,75
Wasted On Youth,The Molotovs,72
OCTANE,Don Toliver,72
World's Gone Wrong,Lucinda Williams,82
Megadeth,Megadeth,61
How Did I Get Here?,Louis Tomlinson,69
Dead Dads Club,Dead Dads Club,71
No More Like This,PVA,82
"JUNGLIST! Old Skool Ragga, D&B, Jungle 1993-95",Various Artists,87
Scenes From Above,Julian Lage,76
Death In The Business Of Whaling,Searows,79
Vacancy,Ari Lennox,75
Sidings,Craven Faults,78
Empty Hands,Poppy,75
Not Like Everybody Else,The Damned,61
Somebody Tried To Sell Me A Bridge,Van Morrison,70
Your Picture,The Sha La Das,84
The Demise Of Planet X,Sleaford Mods,76
Valentine,Courtney Marie Andrews,80
Tragic Magic,Julianna Barwick & Mary Lattimore,83
Off The Fence,The James Hunter Six,86
Don't Be Dumb,A$AP Rocky,71
BRITPOP,Robbie Williams,76
locket,Madison Beer,72
Can't Take My Story Away,Elles Bailey,82
Xiu Mutha Fuckin' Xiu: Vol. 1,Xiu Xiu,78
Dreamer+,Sassy 009,75
Jana Horn,Jana Horn,82
SCALA!!! (Original Music By Barry Adamson),Barry Adamson,74
So Much Country ‘Till We Get There [EP],Westside Cowboy,82
Shaking Hand,Shaking Hand,84
The Dreamin' Kind,Langhorne Slim,78
Embraced For A Second As We Die,Amanda Bergman,75
Secret Love,Dry Cleaning,87
Quicksand Heart,Jenny On Holiday,72
Selling A Vibe,The Cribs,78
With Heaven On Top,Zach Bryan,74
Ferrum Sidereum,Zu,72
III,Pullman,84
Desert So Green,Winged Wheel,79
BEFORE I FORGET,The Kid Laroi,68
Holo Boy,This Is Lorelei,82
Lightning Might Strike,Juliana Hatfield,84
Wish You Were Here 50 [Box Set],Pink Floyd,100
Konk If You're Lonely: Fat White Family Live At Konk Studios,Fat White Family,70
Light-Years,Nas & DJ Premier,71
WHAT HAPPENED TO THE STREETS?,21 Savage,56
CONFLICT DLC,HEALTH,78
Unclouded,Melody's Echo Chamber,77
Blizzard,Dove Ellis,92
Spíra,Ólöf Arnalds,80
Memento Mori: Mexico City,Depeche Mode,85
Live God,Nick Cave & the Bad Seeds,88
MASQUERADE,Thomas Raggi,75
Mercado 48,Daniel Knox,79
There Is Nothing In The Dark That Isn't There In The Light,Tom Smith,63
Long March Through The Jazz Age,The Saints,82
"Selenites, Selenites!",Jimi Tenor Band,81
